dataset_key,dataset,repeat,seed,T,metric,spearman_vs_T1
bc,breast_cancer(37%),6,48,3.0,MCC_best,0.9999999999999999
bc,breast_cancer(37%),6,48,3.0,F1_best,0.9999999999999999
bc,breast_cancer(37%),6,48,3.0,AUPRC,0.9999999999999999
bc,breast_cancer(37%),6,48,3.0,AUROC,0.9999999999999999
bc,breast_cancer(37%),6,48,3.0,Brier_neg,0.09999999999999999
bc,breast_cancer(37%),6,48,3.0,MCC_05,0.9999999999999999
bc,breast_cancer(37%),7,49,0.5,SoftMCC,0.9999999999999999
bc,breast_cancer(37%),7,49,0.5,MCC_best,0.9999999999999999
bc,breast_cancer(37%),7,49,0.5,F1_best,0.9999999999999999
bc,breast_cancer(37%),7,49,0.5,AUPRC,0.9999999999999999
bc,breast_cancer(37%),7,49,0.5,AUROC,0.9999999999999999
bc,breast_cancer(37%),7,49,0.5,Brier_neg,0.7999999999999999
bc,breast_cancer(37%),7,49,0.5,MCC_05,0.9999999999999999
bc,breast_cancer(37%),7,49,1.5,SoftMCC,0.8999999999999998
bc,breast_cancer(37%),7,49,1.5,MCC_best,0.9999999999999999
bc,breast_cancer(37%),7,49,1.5,F1_best,0.9999999999999999
bc,breast_cancer(37%),7,49,1.5,AUPRC,0.9999999999999999
bc,breast_cancer(37%),7,49,1.5,AUROC,0.9999999999999999
bc,breast_cancer(37%),7,49,1.5,Brier_neg,0.9999999999999999
bc,breast_cancer(37%),7,49,1.5,MCC_05,0.9999999999999999
bc,breast_cancer(37%),7,49,2.0,SoftMCC,0.8999999999999998
bc,breast_cancer(37%),7,49,2.0,MCC_best,0.9999999999999999
bc,breast_cancer(37%),7,49,2.0,F1_best,0.9999999999999999
bc,breast_cancer(37%),7,49,2.0,AUPRC,0.9999999999999999
bc,breast_cancer(37%),7,49,2.0,AUROC,0.9999999999999999
bc,breast_cancer(37%),7,49,2.0,Brier_neg,0.9999999999999999
bc,breast_cancer(37%),7,49,2.0,MCC_05,0.9999999999999999
bc,breast_cancer(37%),7,49,3.0,SoftMCC,0.8999999999999998
bc,breast_cancer(37%),7,49,3.0,MCC_best,0.9999999999999999
bc,breast_cancer(37%),7,49,3.0,F1_best,0.9999999999999999
