dataset_key,dataset,repeat,seed,metric,selected_candidate,validation_metric_value,test_mcc
bc,breast_cancer(37%),8,50,SoftMCC,hgb_d6,0.8823508261519095,0.8663835061269969
bc,breast_cancer(37%),8,50,MCC_best,hgb_d6,0.9669329602374179,0.8663835061269969
bc,breast_cancer(37%),8,50,F1_best,hgb_d6,0.9787234042553191,0.8663835061269969
bc,breast_cancer(37%),8,50,AUPRC,hgb_d6,0.9957144979203802,0.8663835061269969
bc,breast_cancer(37%),8,50,AUROC,hgb_d6,0.9973958333333333,0.8663835061269969
bc,breast_cancer(37%),8,50,Brier_neg,hgb_d6,-0.02174196562226979,0.8663835061269969
bc,breast_cancer(37%),8,50,MCC_05,hgb_d3,0.934395000572037,0.8687444855261387
bc,breast_cancer(37%),9,51,SoftMCC,hgb_d6,0.9176408749273968,0.9248653204852252
bc,breast_cancer(37%),9,51,MCC_best,hgb_d6,0.9669329602374179,0.9248653204852252
bc,breast_cancer(37%),9,51,F1_best,hgb_d6,0.9787234042553191,0.9248653204852252
bc,breast_cancer(37%),9,51,AUPRC,hgb_d3,0.9880932980461687,0.9103355156170867
bc,breast_cancer(37%),9,51,AUROC,logreg_C10.0,0.9911458333333334,0.9289923680651911
bc,breast_cancer(37%),9,51,Brier_neg,hgb_d3,-0.01666662326966663,0.9103355156170867
bc,breast_cancer(37%),9,51,MCC_05,hgb_d3,0.9505863757867169,0.9103355156170867
bc,breast_cancer(37%),10,52,SoftMCC,logreg_C10.0,0.8191396136090874,0.8353870484396912
bc,breast_cancer(37%),10,52,MCC_best,logreg_C1.0,0.916787749092078,0.8493207628727713
bc,breast_cancer(37%),10,52,F1_best,logreg_C1.0,0.946236559139785,0.8493207628727713
bc,breast_cancer(37%),10,52,AUPRC,logreg_C10.0,0.9866231672508233,0.8353870484396912
bc,breast_cancer(37%),10,52,AUROC,logreg_C10.0,0.9908854166666666,0.8353870484396912
bc,breast_cancer(37%),10,52,Brier_neg,logreg_C1.0,-0.03930366093537306,0.8493207628727713
bc,breast_cancer(37%),10,52,MCC_05,logreg_C1.0,0.9182250567818113,0.8493207628727713
bc,breast_cancer(37%),11,53,SoftMCC,hgb_d6,0.8760814522568606,0.940041928721174
bc,breast_cancer(37%),11,53,MCC_best,hgb_d3,0.9505863757867169,0.940041928721174
bc,breast_cancer(37%),11,53,F1_best,hgb_d3,0.967741935483871,0.940041928721174
bc,breast_cancer(37%),11,53,AUPRC,logreg_C1.0,0.986346294232497,0.8834569691884416
bc,breast_cancer(37%),11,53,AUROC,logreg_C1.0,0.9924479166666667,0.8834569691884416
bc,breast_cancer(37%),11,53,Brier_neg,hgb_d3,-0.033081273315042486,0.940041928721174
bc,breast_cancer(37%),11,53,MCC_05,hgb_d3,0.9333005094465512,0.940041928721174
synth5,synth(5%),0,42,SoftMCC,hgb_d6,0.24435598398576155,0.4433134883706412
synth5,synth(5%),0,42,MCC_best,hgb_d6,0.4144909197083182,0.4433134883706412
synth5,synth(5%),0,42,F1_best,hgb_d6,0.41237113402061853,0.4433134883706412
synth5,synth(5%),0,42,AUPRC,hgb_d6,0.402321338188683,0.4433134883706412
synth5,synth(5%),0,42,AUROC,hgb_d6,0.7960470588235293,0.4433134883706412
synth5,synth(5%),0,42,Brier_neg,hgb_d6,-0.04149256383511778,0.4433134883706412
synth5,synth(5%),0,42,MCC_05,hgb_d3,0.39471871210422066,0.5020797195629843
synth5,synth(5%),1,43,SoftMCC,hgb_d6,0.258272858313134,0.3220453201340309
synth5,synth(5%),1,43,MCC_best,hgb_d6,0.4793012932694108,0.3220453201340309
synth5,synth(5%),1,43,F1_best,hgb_d6,0.4897959183673469,0.3220453201340309
synth5,synth(5%),1,43,AUPRC,hgb_d6,0.49117303211524227,0.3220453201340309
synth5,synth(5%),1,43,AUROC,hgb_d6,0.8358823529411765,0.3220453201340309
synth5,synth(5%),1,43,Brier_neg,hgb_d6,-0.037916023918995456,0.3220453201340309
synth5,synth(5%),1,43,MCC_05,hgb_d6,0.4231110152269506,0.3220453201340309
synth5,synth(5%),2,44,SoftMCC,hgb_d6,0.31274450019364636,0.5232710646939505
synth5,synth(5%),2,44,MCC_best,hgb_d3,0.5711972394287688,0.446124152186604
synth5,synth(5%),2,44,F1_best,hgb_d3,0.5641025641025641,0.446124152186604
synth5,synth(5%),2,44,AUPRC,hgb_d6,0.5667919765553019,0.5232710646939505
synth5,synth(5%),2,44,AUROC,hgb_d6,0.8895294117647058,0.5232710646939505
synth5,synth(5%),2,44,Brier_neg,hgb_d6,-0.034683014451811656,0.5232710646939505
synth5,synth(5%),2,44,MCC_05,hgb_d3,0.5197191965064278,0.446124152186604
synth5,synth(5%),3,45,SoftMCC,hgb_d6,0.26461685898976944,0.5473800654807227
synth5,synth(5%),3,45,MCC_best,hgb_d6,0.4963327444986324,0.5473800654807227
synth5,synth(5%),3,45,F1_best,hgb_d6,0.5168539325842697,0.5473800654807227
synth5,synth(5%),3,45,AUPRC,hgb_d6,0.5172721531554445,0.5473800654807227
synth5,synth(5%),3,45,AUROC,hgb_d6,0.8707999999999999,0.5473800654807227
synth5,synth(5%),3,45,Brier_neg,hgb_d6,-0.0371029446178191,0.5473800654807227
synth5,synth(5%),3,45,MCC_05,hgb_d3,0.45849868154559487,0.5072333313171712
synth5,synth(5%),4,46,SoftMCC,hgb_d6,0.24893334234114042,0.5714748788090802
synth5,synth(5%),4,46,MCC_best,hgb_d3,0.4469990874075947,0.41937730326439454
synth5,synth(5%),4,46,F1_best,hgb_d3,0.47540983606557374,0.41937730326439454
synth5,synth(5%),4,46,AUPRC,hgb_d6,0.4539391013503206,0.5714748788090802
synth5,synth(5%),4,46,AUROC,hgb_d6,0.8486117647058824,0.5714748788090802
synth5,synth(5%),4,46,Brier_neg,hgb_d6,-0.0392430761095084,0.5714748788090802
synth5,synth(5%),4,46,MCC_05,hgb_d6,0.41236655473834655,0.5714748788090802
synth5,synth(5%),5,47,SoftMCC,hgb_d6,0.29730141175856906,0.45243463299324554
synth5,synth(5%),5,47,MCC_best,hgb_d6,0.6003549863460501,0.45243463299324554
synth5,synth(5%),5,47,F1_best,hgb_d6,0.6136363636363636,0.45243463299324554
synth5,synth(5%),5,47,AUPRC,hgb_d6,0.6189448660821929,0.45243463299324554
synth5,synth(5%),5,47,AUROC,hgb_d6,0.9184117647058824,0.45243463299324554
synth5,synth(5%),5,47,Brier_neg,hgb_d6,-0.033248676646345954,0.45243463299324554
synth5,synth(5%),5,47,MCC_05,hgb_d3,0.5228597832508984,0.4245642870324804
synth5,synth(5%),6,48,SoftMCC,hgb_d6,0.267814709606882,0.42197049032160827
synth5,synth(5%),6,48,MCC_best,hgb_d6,0.5762335806446464,0.42197049032160827
synth5,synth(5%),6,48,F1_best,hgb_d6,0.5909090909090909,0.42197049032160827
synth5,synth(5%),6,48,AUPRC,hgb_d6,0.5757402511898471,0.42197049032160827
synth5,synth(5%),6,48,AUROC,hgb_d6,0.8908588235294118,0.42197049032160827
synth5,synth(5%),6,48,Brier_neg,hgb_d6,-0.034918146514955985,0.42197049032160827
synth5,synth(5%),6,48,MCC_05,hgb_d6,0.49889209258103134,0.42197049032160827
synth5,synth(5%),7,49,SoftMCC,hgb_d6,0.29793025703632514,0.4951759739721276
synth5,synth(5%),7,49,MCC_best,hgb_d3,0.6189748380823552,0.4588127281066916
synth5,synth(5%),7,49,F1_best,hgb_d3,0.6391752577319587,0.4588127281066916
synth5,synth(5%),7,49,AUPRC,hgb_d6,0.6263995160891676,0.4951759739721276
synth5,synth(5%),7,49,AUROC,hgb_d3,0.8814941176470588,0.4588127281066916
synth5,synth(5%),7,49,Brier_neg,hgb_d6,-0.033370648588601406,0.4951759739721276
synth5,synth(5%),7,49,MCC_05,hgb_d6,0.5364633011319809,0.4951759739721276
synth5,synth(5%),8,50,SoftMCC,hgb_d6,0.2570221533067749,0.5394204714121923
synth5,synth(5%),8,50,MCC_best,hgb_d6,0.5087639311706873,0.5394204714121923
synth5,synth(5%),8,50,F1_best,hgb_d6,0.5263157894736842,0.5394204714121923
synth5,synth(5%),8,50,AUPRC,hgb_d6,0.5526246089204436,0.5394204714121923
synth5,synth(5%),8,50,AUROC,hgb_d6,0.878035294117647,0.5394204714121923
synth5,synth(5%),8,50,Brier_neg,hgb_d6,-0.036500024196401866,0.5394204714121923
synth5,synth(5%),8,50,MCC_05,hgb_d6,0.4793012932694108,0.5394204714121923
synth5,synth(5%),9,51,SoftMCC,hgb_d6,0.2157700444611279,0.5139963882468234
synth5,synth(5%),9,51,MCC_best,hgb_d6,0.48022845704323197,0.5139963882468234
synth5,synth(5%),9,51,F1_best,hgb_d6,0.5087719298245614,0.5139963882468234
synth5,synth(5%),9,51,AUPRC,hgb_d3,0.40941816112274293,0.4911384463465773
synth5,synth(5%),9,51,AUROC,hgb_d6,0.8563764705882353,0.5139963882468234
synth5,synth(5%),9,51,Brier_neg,hgb_d3,-0.04123307821109639,0.4911384463465773
synth5,synth(5%),9,51,MCC_05,hgb_d3,0.25194550339723976,0.4911384463465773
synth5,synth(5%),10,52,SoftMCC,hgb_d6,0.24586375840981722,0.4275380775092356
synth5,synth(5%),10,52,MCC_best,hgb_d3,0.42413800599373574,0.446124152186604
synth5,synth(5%),10,52,F1_best,hgb_d6,0.45544554455445546,0.4275380775092356
synth5,synth(5%),10,52,AUPRC,hgb_d6,0.45428300204118166,0.4275380775092356
synth5,synth(5%),10,52,AUROC,hgb_d6,0.860070588235294,0.4275380775092356
synth5,synth(5%),10,52,Brier_neg,hgb_d6,-0.03965183448028133,0.4275380775092356
synth5,synth(5%),10,52,MCC_05,hgb_d3,0.41438770700537403,0.446124152186604
synth5,synth(5%),11,53,SoftMCC,hgb_d6,0.24975751902886437,0.5135678114171582
synth5,synth(5%),11,53,MCC_best,hgb_d6,0.5228146330276306,0.5135678114171582
synth5,synth(5%),11,53,F1_best,hgb_d6,0.5486725663716814,0.5135678114171582
synth5,synth(5%),11,53,AUPRC,hgb_d6,0.5373892747516159,0.5135678114171582
synth5,synth(5%),11,53,AUROC,hgb_d6,0.8981176470588235,0.5135678114171582
synth5,synth(5%),11,53,Brier_neg,hgb_d6,-0.03680769121853523,0.5135678114171582
synth5,synth(5%),11,53,MCC_05,logreg_C0.1,0.3444969128084707,0.14717383715702267
synth1,synth(1%),0,42,SoftMCC,hgb_d6,0.027096588973252424,0.13537361193170183
synth1,synth(1%),0,42,MCC_best,hgb_d6,0.1900405271407107,0.13537361193170183
synth1,synth(1%),0,42,F1_best,hgb_d6,0.19047619047619047,0.13537361193170183
synth1,synth(1%),0,42,AUPRC,hgb_d6,0.0797620742007015,0.13537361193170183
synth1,synth(1%),0,42,AUROC,hgb_d6,0.778856981981982,0.13537361193170183
synth1,synth(1%),0,42,Brier_neg,hgb_d6,-0.013093096373187313,0.13537361193170183
