dataset_key,dataset,repeat,seed,candidate,candidate_index,validation_mccbest_threshold,test_mcc_at_validation_mccbest_threshold,validation_log_loss,validation_ece_10,validation_prob_mean,validation_prob_variance,validation_pos_rate,score_SoftMCC,score_MCC_best,score_F1_best,score_AUPRC,score_AUROC,score_Brier_neg,score_MCC_05
bc,breast_cancer(37%),0,42,logreg_C0.1,0,0.37183852967210146,0.8700152721125508,0.12584314861454626,0.023063146917581896,0.36008223074692086,0.18799636952694598,0.375,0.8197432159196457,0.8996680586556846,0.9361702127659575,0.9839097532738011,0.9894531249999999,-0.04159266023553933,0.8840585430410928
bc,breast_cancer(37%),0,42,logreg_C1.0,1,0.49264705882352944,0.926830538541754,0.3032609074815756,0.042487278473419945,0.3588651567052794,0.1940700342617368,0.375,0.8493561225970473,0.9333333333333333,0.9583333333333334,0.9798439608404168,0.9835937499999998,-0.03423371751685317,0.9333005094465512
bc,breast_cancer(37%),0,42,logreg_C10.0,2,0.42000000000000004,0.9564940942739543,0.11342868736365438,0.052265197712021094,0.3535569749070265,0.19367536715225495,0.375,0.844352799267014,0.9333005094465512,0.9574468085106383,0.9901338472943301,0.99375,-0.037665299285912196,0.8840585430410928
bc,breast_cancer(37%),0,42,hgb_d3,3,0.7803846153846152,0.9251281457541922,0.3156011115068684,0.034293154852487684,0.39469208285462687,0.20791156067524413,0.375,0.8499666056638787,0.916787749092078,0.9473684210526315,0.9787965038386168,0.9821614583333333,-0.04041615735362418,0.8682431421244592
bc,breast_cancer(37%),0,42,hgb_d6,4,0.584833333333334,0.8971669828095538,0.3291463668113025,0.04209699846507168,0.39079491513173836,0.2092888240173645,0.375,0.8500789113749191,0.9164463522048965,0.9473684210526315,0.9728199567728641,0.9790364583333334,-0.04230647113351321,0.8682431421244592
bc,breast_cancer(37%),1,43,logreg_C0.1,0,0.6351515151515145,0.8345678187810464,0.1795656903926654,0.04790497586092744,0.4004595407016929,0.1958283749324949,0.375,0.7858121593987102,0.8507395944549714,0.9072164948453608,0.9673356617595228,0.980859375,-0.05803692726366361,0.8378688987532451
bc,breast_cancer(37%),1,43,logreg_C1.0,1,0.21333333333333335,0.8019042927225302,0.1525974603912933,0.0469611059712598,0.3930042191731967,0.20298083056171917,0.375,0.8201759596561233,0.8783100656536799,0.9230769230769231,0.9759785144174318,0.9872395833333334,-0.04981183470105445,0.8528924408510195
bc,breast_cancer(37%),1,43,logreg_C10.0,2,0.49512245922497716,0.881396952004088,0.15621132667088033,0.0513484989059754,0.40932911748820366,0.20887133836315416,0.375,0.8287688026845207,0.8740884951559715,0.9215686274509803,0.9714138951017913,0.9864583333333333,-0.04985112730190029,0.8740884951559715
bc,breast_cancer(37%),1,43,hgb_d3,3,0.7159722222222225,0.9117937949604076,0.09500142961513244,0.04755680397791481,0.4029868241583494,0.19792049740872092,0.375,0.8509508223143901,0.9343531843023135,0.9583333333333334,0.9937555852814047,0.99609375,-0.028942812520339468,0.9013190713482481
bc,breast_cancer(37%),1,43,hgb_d6,4,0.5090835504198508,0.9097751526641134,0.09481997205964626,0.04010316665487868,0.40194278392676996,0.1989876923638549,0.375,0.8534593532782176,0.934395000572037,0.9591836734693877,0.9934296372222052,0.99609375,-0.02893289402145012,0.9035841064985977
bc,breast_cancer(37%),2,44,logreg_C0.1,0,0.32900000000000007,0.8342949598948355,0.11124371449307238,0.03150273385368389,0.3614009119796494,0.1943663192449804,0.375,0.8434515505731502,0.8996680586556846,0.9361702127659575,0.9834376372419851,0.9911458333333334,-0.0365935172431816,0.8664002254439634
bc,breast_cancer(37%),2,44,logreg_C1.0,1,0.22002519372403967,0.8405267241362306,0.29939027670030527,0.03840094799443576,0.3629964561595486,0.19528013935300786,0.375,0.8522361908489918,0.9188164942501321,0.9494949494949495,0.9822466969003376,0.9839843749999999,-0.0330028202092974,0.916787749092078
bc,breast_cancer(37%),2,44,logreg_C10.0,2,0.9133781505731776,0.8545107835746036,0.3001724569533953,0.03498239859378133,0.35995443024478074,0.21671922774561594,0.375,0.8976740087000971,0.9343531843023135,0.9565217391304348,0.9779341862233811,0.9834635416666666,-0.034130972914781475,0.8996680586556846
bc,breast_cancer(37%),2,44,hgb_d3,3,0.6336183355853554,0.926279677909455,0.2806092765488866,0.02325702980122204,0.3765413807064788,0.20689586763225024,0.375,0.8805068584984782,0.9505863757867169,0.967741935483871,0.9833451658965473,0.9859374999999999,-0.028198584087719844,0.9171387823148716
bc,breast_cancer(37%),2,44,hgb_d6,4,0.6022412229876337,0.9117937949604076,0.28129954883849384,0.04274596077845108,0.3761900511263108,0.2056844292616617,0.375,0.8787973805944275,0.9505863757867169,0.967741935483871,0.9833451658965473,0.9855468749999999,-0.0278644465800148,0.9171387823148716
bc,breast_cancer(37%),3,45,logreg_C0.1,0,0.5683985951966434,0.8518535291230603,0.3164148597796054,0.030455866848935764,0.35063598537778484,0.1914489738157659,0.375,0.8335743955620872,0.9021937088963173,0.9333333333333333,0.9772707127950289,0.9820312499999999,-0.04129200737876253,0.8840585430410928
