baseline,mean_diff,bca_lo,bca_hi,wilcoxon_p,cliffs_delta
MCC@best,-0.0027323740168578793,-0.014821892243166195,0.0051703851266900625,0.43214362272072593,-0.01253858024691358
F1@best,-0.0018806320861919962,-0.012931487575548706,0.006641457745323018,0.6615589548322263,-0.011574074074074073
AUPRC,-0.005529542390002392,-0.018908339606541712,0.0014245175411159263,0.9124299753769707,-0.009259259259259259
AUROC,-0.0009159530775446997,-0.014258929743902114,0.0074532015966751524,0.15116355253383335,0.01716820987654321
Brier,-0.004345991553084928,-0.01669390442297849,0.0028079463819956113,0.7764250047999479,-0.004050925925925926
MCC@0.5,0.008872247594804,-0.003169574677306221,0.025924231257722224,0.24232823970568196,0.005979938271604938
