dataset,metric,kendalls_w,bca_lo,bca_hi,ranking_policy,repeat_count
abalone(9.4%),F1@best,0.6791666666666667,0.4314630518676207,0.8484757496275992,midranks_with_standard_tie_corrected_denominator,12
abalone(9.4%),AUPRC,0.7694444444444445,0.6609114896349164,0.8513888888888889,midranks_with_standard_tie_corrected_denominator,12
abalone(9.4%),AUROC,0.8625,0.7394564453046264,0.9263888888888889,midranks_with_standard_tie_corrected_denominator,12
abalone(9.4%),Brier,0.6680555555555555,0.445521470810619,0.7986111111111112,midranks_with_standard_tie_corrected_denominator,12
abalone(9.4%),MCC@0.5,0.060897435897435896,0.0021722995621353746,0.15650632689127977,midranks_with_standard_tie_corrected_denominator,12
car_eval_34(7.8%),SoftMCC,0.22361111111111112,0.06111111111111111,0.5111111111111111,midranks_with_standard_tie_corrected_denominator,12
car_eval_34(7.8%),MCC@best,0.6307531380753139,0.35257726726122773,0.791842882034737,midranks_with_standard_tie_corrected_denominator,12
car_eval_34(7.8%),F1@best,0.6600418410041841,0.33276033141456435,0.8194444444444444,midranks_with_standard_tie_corrected_denominator,12
car_eval_34(7.8%),AUPRC,0.6069444444444444,0.20430487667949934,0.8305555555555556,midranks_with_standard_tie_corrected_denominator,12
car_eval_34(7.8%),AUROC,0.5902777777777778,0.2929947289633447,0.7777777777777778,midranks_with_standard_tie_corrected_denominator,12
car_eval_34(7.8%),Brier,0.2263888888888889,0.054616271220660394,0.5263888888888889,midranks_with_standard_tie_corrected_denominator,12
car_eval_34(7.8%),MCC@0.5,0.20592592592592593,0.016684089708958412,0.47523508704034806,midranks_with_standard_tie_corrected_denominator,12
car_eval_4(3.8%),SoftMCC,0.8902777777777777,0.8147895151914776,0.9347222222222222,midranks_with_standard_tie_corrected_denominator,12
car_eval_4(3.8%),MCC@best,0.11827956989247312,0.005042787308834071,0.2326840781716384,midranks_with_standard_tie_corrected_denominator,12
car_eval_4(3.8%),F1@best,0.11827956989247312,0.006448958046695945,0.23471293605436636,midranks_with_standard_tie_corrected_denominator,12
car_eval_4(3.8%),AUPRC,0.07916666666666666,0.015392568427605797,0.1375,midranks_with_standard_tie_corrected_denominator,12
car_eval_4(3.8%),AUROC,0.06659693165969316,0.006962689170631961,0.11471300991558736,midranks_with_standard_tie_corrected_denominator,12
car_eval_4(3.8%),Brier,0.8416666666666667,0.7069444444444445,0.9166666666666666,midranks_with_standard_tie_corrected_denominator,12
car_eval_4(3.8%),MCC@0.5,0.774132730015083,0.528733795986945,0.9042594812303967,midranks_with_standard_tie_corrected_denominator,12
coil_2000(6.0%),SoftMCC,0.7319444444444444,0.6625,0.8277777777777777,midranks_with_standard_tie_corrected_denominator,12
coil_2000(6.0%),MCC@best,0.5125,0.352661491821595,0.6472222222222223,midranks_with_standard_tie_corrected_denominator,12
coil_2000(6.0%),F1@best,0.48333333333333334,0.1911234633598712,0.6680555555555555,midranks_with_standard_tie_corrected_denominator,12
coil_2000(6.0%),AUPRC,0.3236111111111111,0.1338962748600908,0.5252247745136622,midranks_with_standard_tie_corrected_denominator,12
coil_2000(6.0%),AUROC,0.5402777777777777,0.4010079371130423,0.6375,midranks_with_standard_tie_corrected_denominator,12
coil_2000(6.0%),Brier,0.4625,0.26285724839053165,0.6013888888888889,midranks_with_standard_tie_corrected_denominator,12
coil_2000(6.0%),MCC@0.5,0.2570806100217865,0.04662560881747897,0.4297822146668854,midranks_with_standard_tie_corrected_denominator,12
mammography(2.3%),SoftMCC,0.5944444444444444,0.12222222222222222,0.8597222222222223,midranks_with_standard_tie_corrected_denominator,12
mammography(2.3%),MCC@best,0.536723163841808,0.037378139593317504,0.7763532763532763,midranks_with_standard_tie_corrected_denominator,12
mammography(2.3%),F1@best,0.551994301994302,0.09628219804175865,0.8007422532268592,midranks_with_standard_tie_corrected_denominator,12
mammography(2.3%),AUPRC,0.5222222222222223,0.0375099982442586,0.7555555555555555,midranks_with_standard_tie_corrected_denominator,12
mammography(2.3%),AUROC,0.5027777777777778,0.05247040039705231,0.8069444444444445,midranks_with_standard_tie_corrected_denominator,12
mammography(2.3%),Brier,0.5388888888888889,0.05148420916390441,0.7811349352944442,midranks_with_standard_tie_corrected_denominator,12
