dataset,metric,kendalls_w_ordinal,kendalls_w_tieaware,delta_tieaware_minus_ordinal,bca_lo_ordinal,bca_hi_ordinal,bca_lo_tieaware,bca_hi_tieaware
breast_cancer(37%),SoftMCC,0.5416666666666666,0.5416666666666666,0.0,0.2564816644942587,0.7611111111111111,0.2564816644942587,0.7611111111111111
breast_cancer(37%),MCC@best,0.5083333333333333,0.5377824858757062,0.029449152542372903,0.3036960017466683,0.6430555555555556,0.3169456066945607,0.6959829806730762
breast_cancer(37%),F1@best,0.5763888888888888,0.6117021276595744,0.035313238770685595,0.4209585294315339,0.7251530576314751,0.4525811595075841,0.7820257150243912
breast_cancer(37%),AUPRC,0.3402777777777778,0.3543417366946779,0.014063958916900099,0.086220993574383,0.5625,0.0903811869469455,0.5784313725490197
breast_cancer(37%),AUROC,0.2736111111111111,0.2769607843137255,0.0033496732026144227,0.0277777777777777,0.5621806007909224,0.0273877130099878,0.5773072790548306
breast_cancer(37%),Brier,0.4958333333333333,0.4958333333333333,0.0,0.3125,0.7180555555555556,0.3125,0.7180555555555556
breast_cancer(37%),MCC@0.5,0.3319444444444444,0.3150929899856938,-0.01685145445875058,0.0852378975858851,0.6027777777777777,0.0571857811837511,0.5976646094623099
synth(5%),SoftMCC,0.8097222222222222,0.8097222222222222,0.0,0.8,0.8347222222222223,0.8,0.8347222222222223
synth(5%),MCC@best,0.8069444444444445,0.8115942028985508,0.004649758454106312,0.7597222222222222,0.8555555555555555,0.768361581920904,0.8641843971631206
synth(5%),F1@best,0.8138888888888889,0.8185425685425686,0.004653679653679688,0.7680555555555556,0.8569444444444444,0.7747495107066171,0.8679077118671445
synth(5%),AUPRC,0.8527777777777777,0.8527777777777777,0.0,0.7819444444444444,0.9263888888888888,0.7819444444444444,0.9263888888888888
synth(5%),AUROC,0.6944444444444444,0.6944444444444444,0.0,0.4861867379813012,0.8013888888888889,0.4861867379813012,0.8013888888888889
synth(5%),Brier,0.8222222222222222,0.8222222222222222,0.0,0.7777777777777778,0.8924934605607288,0.7777777777777778,0.8924934605607288
synth(5%),MCC@0.5,0.5888888888888889,0.5775729646697388,-0.011315924219150064,0.1202949210602568,0.8402777777777778,0.0276310177704133,0.8336073503541908
synth(1%),SoftMCC,0.7805555555555556,0.7805555555555556,0.0,0.5621862265789307,0.9263888888888888,0.5621862265789307,0.9263888888888888
synth(1%),MCC@best,0.2736111111111111,0.2736111111111111,0.0,0.032237261023467,0.5236111111111111,0.032237261023467,0.5236111111111111
synth(1%),F1@best,0.3166666666666666,0.2968085106382979,-0.019858156028368712,0.1302275052151599,0.5513888888888889,0.0932201939272941,0.5319971870604782
synth(1%),AUPRC,0.2430555555555555,0.2430555555555555,0.0,0.0407265852490784,0.5327760772175998,0.0407265852490784,0.5327760772175998
synth(1%),AUROC,0.4361111111111111,0.4361111111111111,0.0,0.1135404645527934,0.6541666666666667,0.1135404645527934,0.6541666666666667
synth(1%),Brier,0.2263888888888889,0.2263888888888889,0.0,0.0544289479206174,0.3513965653590736,0.0544289479206174,0.3513965653590736
synth(1%),MCC@0.5,0.4083333333333333,0.0081521739130434,-0.4001811594202899,0.098776102801142,0.7013888888888888,1.0076102376713586e-09,0.0104166666666666
creditcard(1%),SoftMCC,0.6430555555555556,0.6430555555555556,0.0,0.4430555555555555,0.7777777777777778,0.4430555555555555,0.7777777777777778
creditcard(1%),MCC@best,0.5263888888888889,0.6325075075075075,0.1061186186186186,0.3489176007830157,0.6622517365217062,0.4732449714492241,0.7522821042002258
creditcard(1%),F1@best,0.5263888888888889,0.6325075075075075,0.1061186186186186,0.3183426744968238,0.6638888888888889,0.4686656226398907,0.7600992057712638
creditcard(1%),AUPRC,0.4361111111111111,0.4361111111111111,0.0,0.1036616336051004,0.7055555555555556,0.1036616336051004,0.7055555555555556
creditcard(1%),AUROC,0.2152777777777778,0.2152777777777778,0.0,0.0370585173826938,0.3990912133737873,0.0370585173826938,0.3990912133737873
creditcard(1%),Brier,0.7402777777777778,0.7402777777777778,0.0,0.6717454584216151,0.7777777777777778,0.6717454584216151,0.7777777777777778
creditcard(1%),MCC@0.5,0.6402777777777777,0.6698581560283688,0.02958037825059112,0.4036950361830665,0.7555555555555555,0.4536525373574351,0.7703151782634953
creditcard(0.5%),SoftMCC,0.8791666666666667,0.8791666666666667,0.0,0.806569665420724,0.9138888888888888,0.806569665420724,0.9138888888888888
creditcard(0.5%),MCC@best,0.2291666666666666,0.2335434173669467,0.0043767507002800965,0.0162604123861513,0.3905547563096231,0.0162859394243136,0.4011976216139012
creditcard(0.5%),F1@best,0.2055555555555555,0.2104341736694678,0.0048786181139122975,0.0086861482539765,0.3652777777777777,0.0132489206402437,0.3769693161007744
creditcard(0.5%),AUPRC,0.4888888888888889,0.4888888888888889,0.0,0.2218784977661627,0.6527777777777778,0.2218784977661627,0.6527777777777778
creditcard(0.5%),AUROC,0.5916666666666667,0.5916666666666667,0.0,0.2803742440646057,0.7666666666666667,0.2803742440646057,0.7666666666666667
creditcard(0.5%),Brier,0.6986111111111111,0.6986111111111111,0.0,0.4652777777777778,0.8322484719443619,0.4652777777777778,0.8322484719443619
creditcard(0.5%),MCC@0.5,0.7513888888888889,0.7771816881258942,0.02579279923700528,0.75,0.75,0.7591562649486029,0.7913105413105413
iotid20(6.4%),SoftMCC,0.7694444444444445,0.7694444444444445,0.0,0.75,0.8013888888888889,0.75,0.8013888888888889
iotid20(6.4%),MCC@best,0.8194444444444444,0.830829756795422,0.011385312350977617,0.7583653698584198,0.8597222222222223,0.7696228266426985,0.8768422953899574
iotid20(6.4%),F1@best,0.7777777777777778,0.7962962962962963,0.01851851851851849,0.7513888888888889,0.8180555555555555,0.754881450488145,0.8488700564971752
iotid20(6.4%),AUPRC,0.7722222222222223,0.7722222222222223,0.0,0.75,0.7986111111111112,0.75,0.7986111111111112
iotid20(6.4%),AUROC,0.7611111111111111,0.7611111111111111,0.0,0.75,0.7791666666666667,0.75,0.7791666666666667
iotid20(6.4%),Brier,0.7819444444444444,0.7819444444444444,0.0,0.7513888888888889,0.8236111111111111,0.7513888888888889,0.8236111111111111
iotid20(6.4%),MCC@0.5,0.7680555555555556,0.7695258019525802,0.0014702463970246438,0.7527777777777778,0.7805555555555556,0.7556932278417466,0.7792887029288703
