baseline,mean_diff,bca_lo,bca_hi,wilcoxon_p,within_dataset_cliffs_delta_mean,within_dataset_cliffs_delta_min,within_dataset_cliffs_delta_max,matched_pairs_rank_biserial_all_blocks,matched_pairs_rank_biserial_dataset_mean,matched_pairs_rank_biserial_dataset_min,matched_pairs_rank_biserial_dataset_max,paired_sign_effect_all_blocks
MCC@best,-0.004539882577328184,-0.009790971418368922,0.0011577892241606768,0.013790257716533208,-0.08140432098765432,-0.2638888888888889,0.0763888888888889,-0.2693050193050193,-0.3119651952985286,-1.0,0.4666666666666667,-0.1891891891891892
F1@best,-0.005700760339266046,-0.011224604811541552,-0.00031126662768230954,0.002315082703677313,-0.0933641975308642,-0.2638888888888889,0.1597222222222222,-0.3287566742944317,-0.41348404681738005,-1.0,0.42857142857142855,-0.24561403508771928
AUPRC,-0.004708833805522162,-0.00966443054647989,0.0004658169138871613,0.06692368496577805,-0.03510802469135802,-0.20833333333333334,0.2638888888888889,-0.20695970695970695,-0.09752284752284753,-0.8095238095238095,1.0,-0.019230769230769232
AUROC,-0.0018104772074804209,-0.007091682860487606,0.003367536240882225,0.699913291547752,0.006944444444444444,-0.20833333333333334,0.3333333333333333,-0.042149292149292146,0.03181016514349848,-0.7857142857142857,1.0,0.0990990990990991
Brier,-0.0031011351478515037,-0.00634034940290414,-0.00013608733873593737,0.03655539084970371,-0.04938271604938271,-0.1597222222222222,0.1388888888888889,-0.3103825136612022,-0.15,-1.0,1.0,-0.16666666666666666
MCC@0.5,0.005052622388816032,-0.001504366548741798,0.012643757339283699,0.3408857007152182,0.03356481481481482,-0.2638888888888889,0.3333333333333333,0.1097029702970297,0.020987654320987644,-1.0,0.7857142857142857,0.06
