family,status,item,old,new,delta
stability,compared,breast_cancer(37%)|SoftMCC|kendalls_w,0.6430555555555556,0.5416666666666666,-0.10138888888888897
stability,compared,breast_cancer(37%)|MCC@best|kendalls_w,0.4,0.5083333333333333,0.10833333333333328
stability,compared,breast_cancer(37%)|F1@best|kendalls_w,0.35,0.5763888888888888,0.22638888888888886
stability,compared,breast_cancer(37%)|AUPRC|kendalls_w,0.1527777777777778,0.3402777777777778,0.1875
stability,compared,breast_cancer(37%)|AUROC|kendalls_w,0.2958333333333333,0.2736111111111111,-0.0222222222222222
stability,compared,breast_cancer(37%)|Brier|kendalls_w,0.6472222222222223,0.4958333333333333,-0.15138888888888896
stability,compared,breast_cancer(37%)|MCC@0.5|kendalls_w,0.4222222222222222,0.3319444444444444,-0.09027777777777785
stability,compared,synth(5%)|SoftMCC|kendalls_w,0.9847222222222224,0.8097222222222222,-0.17500000000000016
stability,compared,synth(5%)|MCC@best|kendalls_w,0.7736111111111111,0.8069444444444445,0.033333333333333326
stability,compared,synth(5%)|F1@best|kendalls_w,0.7736111111111111,0.8138888888888889,0.040277777777777746
stability,compared,synth(5%)|AUPRC|kendalls_w,0.8305555555555556,0.8527777777777777,0.022222222222222143
stability,compared,synth(5%)|AUROC|kendalls_w,0.6513888888888889,0.6944444444444444,0.043055555555555514
stability,compared,synth(5%)|Brier|kendalls_w,0.8513888888888889,0.8222222222222222,-0.029166666666666674
stability,compared,synth(5%)|MCC@0.5|kendalls_w,0.7722222222222223,0.5888888888888889,-0.18333333333333335
stability,compared,synth(1%)|SoftMCC|kendalls_w,0.3763888888888889,0.7805555555555556,0.4041666666666667
stability,compared,synth(1%)|MCC@best|kendalls_w,0.1847222222222222,0.2736111111111111,0.08888888888888888
stability,compared,synth(1%)|F1@best|kendalls_w,0.2763888888888889,0.3166666666666666,0.04027777777777769
stability,compared,synth(1%)|AUPRC|kendalls_w,0.2513888888888889,0.2430555555555555,-0.008333333333333387
stability,compared,synth(1%)|AUROC|kendalls_w,0.1263888888888888,0.4361111111111111,0.30972222222222234
stability,compared,synth(1%)|Brier|kendalls_w,0.1805555555555555,0.2263888888888889,0.04583333333333339
stability,compared,synth(1%)|MCC@0.5|kendalls_w,0.1236111111111111,0.4083333333333333,0.2847222222222222
stability,compared,iotid20(6.4%)|SoftMCC|kendalls_w,0.8055555555555556,0.7694444444444445,-0.036111111111111094
