dataset_key,dataset,repeat,seed,candidate,validation_brier,validation_log_loss,validation_ece_10,validation_prob_mean,validation_pos_rate
bc,breast_cancer(37%),0,42,logreg_C0.1,0.04159265774169704,0.1258431422493808,0.023063151321403443,0.3600822306301692,0.375
bc,breast_cancer(37%),0,42,logreg_C1.0,0.03420381871429226,0.303172760720661,0.042417266364807735,0.35879060703082,0.375
bc,breast_cancer(37%),0,42,logreg_C10.0,0.036683911491296656,0.11183948320596854,0.04144681973811715,0.3521637440538212,0.375
bc,breast_cancer(37%),0,42,hgb_d3,0.04041615735362418,0.3156011115068684,0.034293154852487684,0.39469208285462687,0.375
bc,breast_cancer(37%),0,42,hgb_d6,0.04230647113351321,0.3291463668113025,0.04209699846507168,0.39079491513173836,0.375
bc,breast_cancer(37%),1,43,logreg_C0.1,0.05803690069635951,0.17956557694674308,0.04790504255567017,0.40045955522277665,0.375
bc,breast_cancer(37%),1,43,logreg_C1.0,0.05308620551961713,0.15912529489510935,0.05462295613591796,0.39718924401470584,0.375
bc,breast_cancer(37%),1,43,logreg_C10.0,0.05036486993568832,0.1564869561992312,0.04579868112641766,0.40691211811691574,0.375
bc,breast_cancer(37%),1,43,hgb_d3,0.028942812520339468,0.09500142961513244,0.04755680397791481,0.4029868241583494,0.375
bc,breast_cancer(37%),1,43,hgb_d6,0.028932894021450117,0.09481997205964626,0.04010316665487868,0.40194278392676996,0.375
bc,breast_cancer(37%),2,44,logreg_C0.1,0.037400638677357184,0.11296888030599188,0.041749019195897186,0.36126478015954155,0.375
bc,breast_cancer(37%),2,44,logreg_C1.0,0.032885728270860934,0.2977427977949687,0.03112304528900389,0.3628677449650232,0.375
bc,breast_cancer(37%),2,44,logreg_C10.0,0.03412535425060788,0.30015746899661444,0.034978467850248884,0.35995084749689066,0.375
bc,breast_cancer(37%),2,44,hgb_d3,0.028198584087719844,0.2806092765488866,0.02325702980122204,0.3765413807064788,0.375
bc,breast_cancer(37%),2,44,hgb_d6,0.0278644465800148,0.28129954883849384,0.04274596077845108,0.3761900511263108,0.375
bc,breast_cancer(37%),3,45,logreg_C0.1,0.04129200521205026,0.31641485399627367,0.030455871586847604,0.350635980639873,0.375
bc,breast_cancer(37%),3,45,logreg_C1.0,0.032619579732147685,0.2953062321393963,0.03500214868305424,0.3549876327704774,0.375
bc,breast_cancer(37%),3,45,logreg_C10.0,0.026984235171057493,0.08709870339827767,0.027729716984931777,0.3540411163484015,0.375
bc,breast_cancer(37%),3,45,hgb_d3,0.007998272204957014,0.03089908625415083,0.017804192701825212,0.37025905530380987,0.375
bc,breast_cancer(37%),3,45,hgb_d6,0.0067475066620416,0.02735475819269507,0.015320171892929658,0.3720564641420078,0.375
bc,breast_cancer(37%),4,46,logreg_C0.1,0.053976009966059744,0.17676855349309686,0.0579200400974698,0.40224930138195264,0.375
bc,breast_cancer(37%),4,46,logreg_C1.0,0.04072746229587092,0.14195655151178588,0.04967463102950414,0.3892867971350865,0.375
bc,breast_cancer(37%),4,46,logreg_C10.0,0.03478276351001522,0.12297805910774534,0.06904011838022309,0.39327072944096453,0.375
bc,breast_cancer(37%),4,46,hgb_d3,0.03525987765010166,0.1286758305933337,0.0539002243899931,0.40939467503271776,0.375
bc,breast_cancer(37%),4,46,hgb_d6,0.0343649778896287,0.12260711563616945,0.05656529826861491,0.40791600342441425,0.375
bc,breast_cancer(37%),5,47,logreg_C0.1,0.049882391406805796,0.3397372287665146,0.052723505318443734,0.3590763116655814,0.375
bc,breast_cancer(37%),5,47,logreg_C1.0,0.04077551886784242,0.5071520274669138,0.046293976565982733,0.3517292241915931,0.375
bc,breast_cancer(37%),5,47,logreg_C10.0,0.024581132593062497,0.07690938393195715,0.02974662726287681,0.3590065599049188,0.375
bc,breast_cancer(37%),5,47,hgb_d3,0.025994681844556604,0.08298209225988543,0.03363346859871933,0.3664570029940736,0.375
bc,breast_cancer(37%),5,47,hgb_d6,0.027480533909643865,0.0875286136407022,0.03412512564950209,0.3641215753362014,0.375
bc,breast_cancer(37%),6,48,logreg_C0.1,0.04764356855372353,0.14415079675624995,0.042507470321571615,0.37658225190447425,0.375
bc,breast_cancer(37%),6,48,logreg_C1.0,0.0369799417120807,0.11364635344904882,0.042116348201372125,0.37880612847648054,0.375
bc,breast_cancer(37%),6,48,logreg_C10.0,0.034868886171249544,0.11170222884872075,0.03851551194235422,0.3848285545921659,0.375
bc,breast_cancer(37%),6,48,hgb_d3,0.040598408408861364,0.12275532610564288,0.04516699261037755,0.37536850108540565,0.375
bc,breast_cancer(37%),6,48,hgb_d6,0.040456771720129944,0.12180990798578525,0.02999160518859871,0.3745505966773889,0.375
bc,breast_cancer(37%),7,49,logreg_C0.1,0.06413929882167911,0.19339417607514206,0.04724349785226421,0.33927835500857706,0.375
bc,breast_cancer(37%),7,49,logreg_C1.0,0.06344914757473119,0.18379468172954172,0.06000180995066372,0.34234194004933627,0.375
bc,breast_cancer(37%),7,49,logreg_C10.0,0.04823559135616787,0.14998151823990236,0.03739308666504847,0.3544400237729092,0.375
bc,breast_cancer(37%),7,49,hgb_d3,0.035224012785584076,0.12413421581513417,0.04393130922190584,0.3426572324447609,0.375
bc,breast_cancer(37%),7,49,hgb_d6,0.035447562112545496,0.12616792056914727,0.04120192089068223,0.3414030006069023,0.375
bc,breast_cancer(37%),8,50,logreg_C0.1,0.04408780481403879,0.14730020626920054,0.03348877445806108,0.38670336081364537,0.375
bc,breast_cancer(37%),8,50,logreg_C1.0,0.040256925413699754,0.13811328059142536,0.0376409151141579,0.39395940183631434,0.375
bc,breast_cancer(37%),8,50,logreg_C10.0,0.0394310381749039,0.1305575847510458,0.04942864792555456,0.40248530929672155,0.375
bc,breast_cancer(37%),8,50,hgb_d3,0.024358965050484134,0.08200884132843939,0.035373876795452494,0.4067197634705855,0.375
bc,breast_cancer(37%),8,50,hgb_d6,0.02174196562226979,0.07519148925629171,0.03626702549870154,0.40770249892762017,0.375
bc,breast_cancer(37%),9,51,logreg_C0.1,0.04959769856434706,0.3555405789752395,0.046957552776947895,0.361338578175433,0.375
bc,breast_cancer(37%),9,51,logreg_C1.0,0.04611094072963147,0.3373226686120198,0.04342666116876053,0.3696685769264776,0.375
bc,breast_cancer(37%),9,51,logreg_C10.0,0.037065800062507544,0.11390433915140594,0.031633281451009264,0.3633105772106425,0.375
bc,breast_cancer(37%),9,51,hgb_d3,0.01666662326966663,0.07502372215213937,0.016365459075725508,0.37212582177194975,0.375
bc,breast_cancer(37%),9,51,hgb_d6,0.016743404564440064,0.2535577033447174,0.009898704964426358,0.3766431675887865,0.375
bc,breast_cancer(37%),10,52,logreg_C0.1,0.052027520741851685,0.35864463641065475,0.04520261160188148,0.3566576398614531,0.375
bc,breast_cancer(37%),10,52,logreg_C1.0,0.03930366093537306,0.3191835740588117,0.03454263272548136,0.3695653830258441,0.375
bc,breast_cancer(37%),10,52,logreg_C10.0,0.0393081844681853,0.13060444000602567,0.03793269651731368,0.35749710716335986,0.375
bc,breast_cancer(37%),10,52,hgb_d3,0.05248185189467902,0.17273398496167705,0.04506669614369595,0.33047442939742966,0.375
bc,breast_cancer(37%),10,52,hgb_d6,0.04770199030779002,0.15832611791640516,0.04285184591224822,0.3346646352002344,0.375
bc,breast_cancer(37%),11,53,logreg_C0.1,0.0561611522029136,0.16821563793450411,0.061235091408125254,0.3280100384620046,0.375
