baseline,mean_diff,bca_lo,bca_hi,wilcoxon_p,holm_adjusted_p,raw_p_significant_0_05,holm_significant_0_05,matched_pairs_rank_biserial_all_blocks,total_pairs,effective_nonzero_pairs,zero_pairs,positive_pairs,negative_pairs
MCC@best,-0.0045398825773281,-0.0097909714183689,0.0011577892241606,0.0137902577165332,0.068951288582666,True,False,-0.2693050193050193,216,111,105,45,66
F1@best,-0.005700760339266,-0.0112246048115415,-0.0003112666276823,0.0023150827036773,0.0138904962220638,True,True,-0.3287566742944317,216,114,102,43,71
AUPRC,-0.0047088338055221,-0.0096644305464798,0.0004658169138871,0.066923684965778,0.200771054897334,False,False,-0.2069597069597069,216,104,112,51,53
AUROC,-0.0018104772074804,-0.0070916828604876,0.0033675362408822,0.699913291547752,0.699913291547752,False,False,-0.0421492921492921,216,111,105,61,50
Brier,-0.0031011351478515,-0.0063403494029041,-0.0001360873387359,0.0365553908497037,0.1462215633988148,True,False,-0.3103825136612022,216,60,156,25,35
MCC@0.5,0.005052622388816,-0.0015043665487417,0.0126437573392836,0.3408857007152182,0.6817714014304364,False,False,0.1097029702970297,216,100,116,53,47
